id	EC
ChiCTR2300075024	合并心、脑、肺、肾等严重疾病；
ChiCTR2300075024	抑郁症、老年痴呆等认知障碍者；
ChiCTR2300075024	代谢性、中毒性、颅内感染、镇静剂过量等所致的精神异常者；
ChiCTR2300075024	患有严重听力或视力障碍等无法合作者；
ChiCTR2300075024	病案资料不全者。
ChiCTR2300074856	肝衰竭；
ChiCTR2300074856	合并其它嗜肝病毒感染的肝炎，脂肪肝，长期饮酒史或其它慢性重型肝炎；
ChiCTR2300074856	妊娠或准备妊娠妇女、哺乳期妇女；
ChiCTR2300074856	有严重的基础疾病：重度慢性阻塞性肺疾病、严重肾功能不全、慢性充血性心力衰竭等；
ChiCTR2300074856	免疫缺陷患者：如恶性肿瘤、器官移植和艾滋病或近3月内服用免疫抑制剂或糖皮质激素等；
ChiCTR2300074856	正在参加其他临床试验；
ChiCTR2300074856	研究者认为不适合入组的其它情况。
ChiCTR2300074614	既往行TIPs治疗； 恶性肿瘤患者； 无完整病例信息患者； 无增强CT资料的患者；
ChiCTR2300073864	既往失代偿；
ChiCTR2300073864	LSM <25 kPa；
ChiCTR2300073864	影响门静脉主干或主要肝脏分支，或脾脏、肠系膜静脉的门静脉血栓形成；
ChiCTR2300073864	由两项影像学检查证明的肝细胞癌；
ChiCTR2300073864	胆红素>3 mg/dl，血小板<30 × 109/L，或快速凝血酶原实验<30%；
ChiCTR2300073864	存在肾功能不全(血肌酐>2 mg/dl)；
ChiCTR2300073864	任何涉及治疗限制的疾病或预期生存时间小于12月；
ChiCTR2300073864	β受体阻滞剂治疗绝对禁忌证(严重支气管痉挛、主动脉狭窄A-V阻滞、间歇性跛行、严重精神病、支气管哮喘)；
ChiCTR2300073864	β受体阻滞剂过敏；
ChiCTR2300073864	妊娠或哺乳期；
ChiCTR2300073864	接受抗凝治疗；
ChiCTR2300073864	ALT >5 ULN or AST >5 ULN；
ChiCTR2300073864	入组前两周曾接受过硝酸甘油或β受体阻滞剂治疗；
ChiCTR2300073864	非酒精脂肪肝肝硬化且BMI ≥30 kg/m2。
ChiCTR2300073784	肝癌或其他系统恶性肿瘤病史者；
ChiCTR2300073784	有脑出血病史、活动性出血史；
ChiCTR2300073784	有嗜烟史（平均每天吸烟 5 支及以上）、酗酒史（每周饮用 14 个单位的酒精：1 单位=啤酒 285ml， 或烈酒 25ml，或葡萄酒约 100ml）或药物滥用史者，或不能保证在试验期间不吸烟或不饮酒者；
ChiCTR2300073784	研究者认为有不适合参加试验的其他因素。
ChiCTR2300072488	年龄小于18周岁；
ChiCTR2300072488	妊娠；
ChiCTR2300072488	确诊或可疑恶性肿瘤；
ChiCTR2300072488	既往实体器官移植；
ChiCTR2300072488	人类免疫缺陷病毒感染；
ChiCTR2300072488	使用糖皮质激素及免疫抑制剂用于治疗除外基础肝脏疾病的其他疾病。
ChiCTR2300072413	合并严重心肺原发疾病、原发性肾病、血液系统疾病、恶性肿瘤等；
ChiCTR2300072413	妊娠期或哺乳期女性；
ChiCTR2300072413	失访或临床资料不完整者。患者及家属同意行相关检查，并签署知情同意书；
ChiCTR2300072413	有精神病无法配合治疗或精神病史者；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	3个月内应用过泻药或者治疗腹泻的药物；
ChiCTR2300072413	最近出现过饮食习惯的改变，例如转为半素食或者全素食；
ChiCTR2300072413	存在复杂性感染以及菌血症；
ChiCTR2300072413	存在其他严重的器官衰竭的病史（例如癫痫，获得性免疫缺陷等）；
ChiCTR2300072413	半年内曾经行肠道手术；
ChiCTR2300072413	曾行回盲部手术或者目前存在造瘘口；
ChiCTR2300072413	1个月内曾行肠镜；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	研究者认为不适合加入本研究者。
ChiCTR2300072413	合并严重心肺原发疾病、原发性肾病、血液系统疾病、恶性肿瘤等；
ChiCTR2300072413	治疗过程中行外科手术及肝移植患者；
ChiCTR2300072413	失访或临床资料不完整者。患者及家属同意行相关检查，并签署知情同意书；
ChiCTR2300072413	妊娠期妇女；
ChiCTR2300072413	有精神病无法配合治疗或精神病史者；
ChiCTR2300072413	近期或正在参加其他临床试验者；
ChiCTR2300072413	研究者认为不适合加入本研究者。
ChiCTR2300072413	妊娠期或哺乳期女性；
ChiCTR2300072413	门静脉海绵样变；
